experiment_id,length_bucket,sample_id,key_id,key_index,seed,geometry,nominal_fraction,ai_generated_fraction,detector_score,threshold,detected,n_tokens,n_scored_positions,timestamp
70,250,250_0,075c5cf8,0,20004,contiguous,0.3,0.3,0.5443089430894309,0.5271523178807948,True,250,246,2026-08-15T17:46:43
71,250,250_0,075c5cf8,0,20004,contiguous,0.4,0.4,0.5565040650406504,0.5271523178807948,True,250,246,2026-08-15T17:46:43
72,250,250_0,075c5cf8,0,20004,contiguous,0.5,0.5,0.5714285714285714,0.5271523178807948,True,250,245,2026-08-15T17:46:43
73,250,250_0,075c5cf8,0,20004,scattered,0.05,0.048,0.4987755102040816,0.5271523178807948,False,250,245,2026-08-15T17:46:43
74,250,250_0,075c5cf8,0,20004,scattered,0.1,0.1,0.5057142857142857,0.5271523178807948,False,250,245,2026-08-15T17:46:43
75,250,250_0,075c5cf8,0,20004,scattered,0.15,0.152,0.5113821138211382,0.5271523178807948,False,250,246,2026-08-15T17:46:43
76,250,250_0,075c5cf8,0,20004,scattered,0.2,0.2,0.5113821138211382,0.5271523178807948,False,250,246,2026-08-15T17:46:43
77,250,250_0,075c5cf8,0,20004,scattered,0.25,0.248,0.517479674796748,0.5271523178807948,False,250,246,2026-08-15T17:46:43
78,250,250_0,075c5cf8,0,20004,scattered,0.3,0.3,0.5247967479674797,0.5271523178807948,False,250,246,2026-08-15T17:46:43
79,250,250_0,075c5cf8,0,20004,scattered,0.4,0.4,0.5329268292682927,0.5271523178807948,True,250,246,2026-08-15T17:46:43
80,250,250_0,075c5cf8,0,20004,scattered,0.5,0.5,0.552439024390244,0.5271523178807948,True,250,246,2026-08-15T17:46:43
81,250,250_0,ba89af07,1,-1,none,0.0,0.0,0.5102040816326531,0.5290322580645161,False,250,245,2026-08-15T17:46:43
82,250,250_0,ba89af07,1,20000,contiguous,0.05,0.048,0.5126530612244898,0.5290322580645161,False,250,245,2026-08-15T17:46:43
83,250,250_0,ba89af07,1,20000,contiguous,0.1,0.1,0.5212244897959184,0.5290322580645161,False,250,245,2026-08-15T17:46:43
84,250,250_0,ba89af07,1,20000,contiguous,0.15,0.152,0.5272357723577236,0.5290322580645161,False,250,246,2026-08-15T17:46:43
85,250,250_0,ba89af07,1,20000,contiguous,0.2,0.2,0.532520325203252,0.5290322580645161,True,250,246,2026-08-15T17:46:43
86,250,250_0,ba89af07,1,20000,contiguous,0.25,0.248,0.5361788617886178,0.5290322580645161,True,250,246,2026-08-15T17:46:43
87,250,250_0,ba89af07,1,20000,contiguous,0.3,0.3,0.5471544715447154,0.5290322580645161,True,250,246,2026-08-15T17:46:43
88,250,250_0,ba89af07,1,20000,contiguous,0.4,0.4,0.5719512195121951,0.5290322580645161,True,250,246,2026-08-15T17:46:43
89,250,250_0,ba89af07,1,20000,contiguous,0.5,0.5,0.5865853658536585,0.5290322580645161,True,250,246,2026-08-15T17:46:43
90,250,250_0,ba89af07,1,20000,scattered,0.05,0.048,0.5126530612244898,0.5290322580645161,False,250,245,2026-08-15T17:46:43
91,250,250_0,ba89af07,1,20000,scattered,0.1,0.1,0.5089795918367347,0.5290322580645161,False,250,245,2026-08-15T17:46:43
92,250,250_0,ba89af07,1,20000,scattered,0.15,0.152,0.5146341463414634,0.5290322580645161,False,250,246,2026-08-15T17:46:43
93,250,250_0,ba89af07,1,20000,scattered,0.2,0.2,0.5142276422764228,0.5290322580645161,False,250,246,2026-08-15T17:46:43
94,250,250_0,ba89af07,1,20000,scattered,0.25,0.248,0.5203252032520326,0.5290322580645161,False,250,246,2026-08-15T17:46:43
