experiment_id,axis,condition,param_value,prompt_id,replicate,seed,key_id,language,n_tokens,n_chars,detector_score,threshold,detected,n_scored_positions,watermarked_tokens_retained,watermarked_fraction_retained,token_overlap_original,edit_distance_vs_watermarked,edit_distance_vs_original,semantic_sim_vs_watermarked,semantic_sim_vs_original,timestamp
41,mixture,keep_suffix,0.9,1,0,13345,075c5cf8,en,128,576,0.6306451612903226,0.5388429752066116,True,124,115,0.8984375,0.2578125,12,112,0.9998536033851884,0.9986027886551431,2026-08-15T16:03:44
42,mixture,keep_suffix,0.75,1,0,13345,075c5cf8,en,128,561,0.6122950819672132,0.5388429752066116,True,122,96,0.75,0.375,31,94,0.999661213904454,0.9987873733914562,2026-08-15T16:03:44
43,mixture,keep_suffix,0.5,1,0,13345,075c5cf8,en,128,584,0.5612903225806452,0.5388429752066116,True,124,64,0.5,0.5859375,62,63,0.9994237729628878,0.9994546470899254,2026-08-15T16:03:44
44,mixture,keep_suffix,0.25,1,0,13345,075c5cf8,en,128,603,0.5338709677419354,0.5388429752066116,False,124,32,0.25,0.78125,93,31,0.9990405539632125,0.9997188962662577,2026-08-15T16:03:44
45,mixture,keep_suffix,0.1,1,0,13345,075c5cf8,en,128,624,0.5112903225806451,0.5388429752066116,False,124,13,0.1015625,0.8984375,111,13,0.9987624167812473,0.9998938277158302,2026-08-15T16:03:44
46,mixture,keep_suffix,0.0,1,0,13345,075c5cf8,en,128,659,0.4959677419354839,0.5388429752066116,False,124,0,0.0,1.0,124,0,0.998514107234086,0.9999999999999999,2026-08-15T16:03:44
47,mixture,scattered,1.0,1,0,13345,075c5cf8,en,128,565,0.6552845528455284,0.5388429752066116,True,123,128,1.0,0.1796875,0,124,1.0,0.998514107234086,2026-08-15T16:03:44
48,mixture,scattered,0.9,1,0,13345,075c5cf8,en,128,551,0.5814516129032258,0.5388429752066116,True,124,115,0.8984375,0.21875,13,112,0.9992418409808334,0.9975553140297267,2026-08-15T16:03:44
49,mixture,scattered,0.75,1,0,13345,075c5cf8,en,128,572,0.5766129032258065,0.5388429752066116,True,124,96,0.75,0.3125,31,94,0.9988535623964593,0.9972755231838654,2026-08-15T16:03:44
50,mixture,scattered,0.5,1,0,13345,075c5cf8,en,128,603,0.5387096774193548,0.5388429752066116,False,124,64,0.5,0.53125,63,62,0.9977053769518284,0.9963469943438809,2026-08-15T16:03:44
51,mixture,scattered,0.25,1,0,13345,075c5cf8,en,128,640,0.5096774193548387,0.5388429752066116,False,124,32,0.25,0.765625,94,31,0.9974465039120495,0.9971176652459193,2026-08-15T16:03:44
52,mixture,scattered,0.1,1,0,13345,075c5cf8,en,128,661,0.49193548387096775,0.5388429752066116,False,124,13,0.1015625,0.8984375,112,13,0.9983788618463184,0.9991792863067097,2026-08-15T16:03:44
53,mixture,scattered,0.0,1,0,13345,075c5cf8,en,128,659,0.4959677419354839,0.5388429752066116,False,124,0,0.0,1.0,124,0,0.998514107234086,0.9999999999999999,2026-08-15T16:03:44
54,edit,spelling,0.03125,1,0,13345,075c5cf8,en,128,578,0.6282258064516129,0.5388429752066116,True,124,124,0.96875,0.1640625,4,125,0.9996196982798592,0.9979094835353718,2026-08-15T16:03:44
55,edit,grammar,0.0625,1,0,13345,075c5cf8,en,128,577,0.6104838709677419,0.5388429752066116,True,124,120,0.9375,0.1640625,8,125,0.9989382497657715,0.9969331914485065,2026-08-15T16:03:44
56,edit,punctuation,0.0390625,1,0,13345,075c5cf8,en,128,574,0.614516129032258,0.5388429752066116,True,124,123,0.9609375,0.1640625,5,125,0.997646016508556,0.9952428554411326,2026-08-15T16:03:44
57,edit,light_copyedit,0.1015625,1,0,13345,075c5cf8,en,128,582,0.6088709677419355,0.5388429752066116,True,124,115,0.8984375,0.15625,13,125,0.997211661085528,0.99494729813458,2026-08-15T16:03:44
58,edit,word_substitution,0.1484375,1,0,13345,075c5cf8,en,128,605,0.5596774193548387,0.5388429752066116,True,124,109,0.8515625,0.15625,19,125,0.9954150637939665,0.992908115664894,2026-08-15T16:03:44
59,edit,sentence_rewrite,0.203125,1,0,13345,075c5cf8,en,128,580,0.6185483870967742,0.5388429752066116,True,124,102,0.796875,0.171875,26,125,0.9971977480442684,0.995032164798095,2026-08-15T16:03:44
60,edit,paragraph_rewrite,0.5,1,0,13345,075c5cf8,en,128,664,0.5758064516129032,0.5388429752066116,True,124,64,0.5,0.109375,64,126,0.9907718550439613,0.9882114825774678,2026-08-15T16:03:44
61,edit,restoration,0.9765625,1,0,13345,075c5cf8,en,128,659,0.4959677419354839,0.5388429752066116,False,124,3,0.0234375,1.0,124,0,0.998514107234086,0.9999999999999999,2026-08-15T16:03:44
62,baseline,watermarked,1.0,2,0,14345,075c5cf8,en,128,607,0.6524193548387097,0.5388429752066116,True,124,128,1.0,0.1640625,0,125,0.9999999999999999,0.998177935774252,2026-08-15T16:03:44
63,baseline,reference,0.0,2,0,14345,075c5cf8,en,128,513,0.5049586776859504,0.5388429752066116,False,121,0,0.0,1.0,125,0,0.998177935774252,1.0,2026-08-15T16:03:44
64,mixture,keep_prefix,1.0,2,0,14345,075c5cf8,en,128,607,0.6524193548387097,0.5388429752066116,True,124,128,1.0,0.1640625,0,125,0.9999999999999999,0.998177935774252,2026-08-15T16:03:44
65,mixture,keep_prefix,0.9,2,0,14345,075c5cf8,en,128,630,0.6379032258064516,0.5388429752066116,True,124,115,0.8984375,0.2421875,13,112,0.9999653564981049,0.9984725192518261,2026-08-15T16:03:44
66,mixture,keep_prefix,0.75,2,0,14345,075c5cf8,en,128,606,0.6048387096774194,0.5388429752066116,True,124,96,0.75,0.359375,32,94,0.9998723727530461,0.9987742140734603,2026-08-15T16:03:44
67,mixture,keep_prefix,0.5,2,0,14345,075c5cf8,en,128,585,0.5741935483870968,0.5388429752066116,True,124,64,0.5,0.5703125,64,63,0.9993975529741815,0.9992680673903562,2026-08-15T16:03:44
68,mixture,keep_prefix,0.25,2,0,14345,075c5cf8,en,128,537,0.5467213114754098,0.5388429752066116,True,122,32,0.25,0.7734375,94,32,0.9991077477504628,0.9994909044422982,2026-08-15T16:03:44
69,mixture,keep_prefix,0.1,2,0,14345,075c5cf8,en,128,519,0.5247933884297521,0.5388429752066116,False,121,13,0.1015625,0.8984375,112,13,0.9986536952642632,0.9998262699723796,2026-08-15T16:03:44
70,mixture,keep_prefix,0.0,2,0,14345,075c5cf8,en,128,513,0.5049586776859504,0.5388429752066116,False,121,0,0.0,1.0,125,0,0.998177935774252,1.0,2026-08-15T16:03:44
71,mixture,keep_suffix,1.0,2,0,14345,075c5cf8,en,128,607,0.6524193548387097,0.5388429752066116,True,124,128,1.0,0.1640625,0,125,0.9999999999999999,0.998177935774252,2026-08-15T16:03:44
72,mixture,keep_suffix,0.9,2,0,14345,075c5cf8,en,128,601,0.6290322580645161,0.5388429752066116,True,124,115,0.8984375,0.2578125,13,112,0.9998959598675758,0.9984159341178105,2026-08-15T16:03:44
73,mixture,keep_suffix,0.75,2,0,14345,075c5cf8,en,128,583,0.6122950819672132,0.5388429752066116,True,122,96,0.75,0.3828125,32,94,0.9995519116044286,0.9990917827376211,2026-08-15T16:03:44
74,mixture,keep_suffix,0.5,2,0,14345,075c5cf8,en,128,535,0.5725,0.5388429752066116,True,120,64,0.5,0.5625,63,64,0.9992886781780104,0.9990702061290312,2026-08-15T16:03:44
75,mixture,keep_suffix,0.25,2,0,14345,075c5cf8,en,128,514,0.5447154471544715,0.5388429752066116,True,123,32,0.25,0.7734375,94,32,0.998907073083916,0.9997545362423724,2026-08-15T16:03:44
76,mixture,keep_suffix,0.1,2,0,14345,075c5cf8,en,128,490,0.5155737704918033,0.5388429752066116,False,122,13,0.1015625,0.90625,112,13,0.9984310444484032,0.9999726578611802,2026-08-15T16:03:44
77,mixture,keep_suffix,0.0,2,0,14345,075c5cf8,en,128,513,0.5049586776859504,0.5388429752066116,False,121,0,0.0,1.0,125,0,0.998177935774252,1.0,2026-08-15T16:03:44
78,mixture,scattered,1.0,2,0,14345,075c5cf8,en,128,607,0.6524193548387097,0.5388429752066116,True,124,128,1.0,0.1640625,0,125,0.9999999999999999,0.998177935774252,2026-08-15T16:03:44
79,mixture,scattered,0.9,2,0,14345,075c5cf8,en,128,587,0.589516129032258,0.5388429752066116,True,124,115,0.8984375,0.1796875,13,115,0.9997235368238608,0.997776985853522,2026-08-15T16:03:44
80,mixture,scattered,0.75,2,0,14345,075c5cf8,en,128,575,0.5225806451612903,0.5388429752066116,False,124,96,0.75,0.3046875,32,96,0.9983507832529493,0.9956868316845683,2026-08-15T16:03:44
81,mixture,scattered,0.5,2,0,14345,075c5cf8,en,128,544,0.4838709677419355,0.5388429752066116,False,124,64,0.5,0.515625,64,64,0.9985198356249106,0.9966199760028593,2026-08-15T16:03:44
82,mixture,scattered,0.25,2,0,14345,075c5cf8,en,128,524,0.5112903225806451,0.5388429752066116,False,124,32,0.25,0.75,96,32,0.9983649336851983,0.9971044500780464,2026-08-15T16:03:44
83,mixture,scattered,0.1,2,0,14345,075c5cf8,en,128,535,0.4975609756097561,0.5388429752066116,False,123,13,0.1015625,0.8984375,115,13,0.9988544286173094,0.9992825025842706,2026-08-15T16:03:44
84,mixture,scattered,0.0,2,0,14345,075c5cf8,en,128,513,0.5049586776859504,0.5388429752066116,False,121,0,0.0,1.0,125,0,0.998177935774252,1.0,2026-08-15T16:03:44
85,edit,spelling,0.03125,2,0,14345,075c5cf8,en,128,612,0.646774193548387,0.5388429752066116,True,124,124,0.96875,0.15625,4,125,0.9992470464647104,0.9966024401315629,2026-08-15T16:03:44
86,edit,grammar,0.0625,2,0,14345,075c5cf8,en,128,608,0.6104838709677419,0.5388429752066116,True,124,120,0.9375,0.15625,8,125,0.9995530784476462,0.9968705099711399,2026-08-15T16:03:44
87,edit,punctuation,0.0390625,2,0,14345,075c5cf8,en,128,595,0.625,0.5388429752066116,True,124,123,0.9609375,0.15625,5,125,0.999033207437194,0.9959361485917754,2026-08-15T16:03:44
88,edit,light_copyedit,0.1015625,2,0,14345,075c5cf8,en,128,638,0.5604838709677419,0.5388429752066116,True,124,115,0.8984375,0.15625,13,125,0.9988049760092901,0.9957275377593364,2026-08-15T16:03:44
89,edit,word_substitution,0.1484375,2,0,14345,075c5cf8,en,128,643,0.5774193548387097,0.5388429752066116,True,124,109,0.8515625,0.1484375,19,125,0.9984512448647914,0.9953525237425674,2026-08-15T16:03:44
90,edit,sentence_rewrite,0.203125,2,0,14345,075c5cf8,en,128,662,0.6225806451612903,0.5388429752066116,True,124,102,0.796875,0.1640625,26,127,0.9972599251146457,0.9942597014882801,2026-08-15T16:03:44
91,edit,paragraph_rewrite,0.5,2,0,14345,075c5cf8,en,128,740,0.5879032258064516,0.5388429752066116,True,124,64,0.5,0.1171875,64,128,0.9933049146875825,0.9896859770927543,2026-08-15T16:03:44
92,edit,restoration,1.0,2,0,14345,075c5cf8,en,128,513,0.5049586776859504,0.5388429752066116,False,121,0,0.0,1.0,125,0,0.998177935774252,1.0,2026-08-15T16:03:44
93,baseline,watermarked,1.0,3,0,15345,075c5cf8,en,128,593,0.6658536585365854,0.5388429752066116,True,123,128,1.0,0.15625,0,124,1.0,0.9984461117945462,2026-08-15T16:03:44
94,baseline,reference,0.0,3,0,15345,075c5cf8,en,128,591,0.5120967741935484,0.5388429752066116,False,124,0,0.0,1.0,124,0,0.9984461117945462,1.0,2026-08-15T16:03:44
95,mixture,keep_prefix,1.0,3,0,15345,075c5cf8,en,128,593,0.6658536585365854,0.5388429752066116,True,123,128,1.0,0.15625,0,124,1.0,0.9984461117945462,2026-08-15T16:03:44
96,mixture,keep_prefix,0.9,3,0,15345,075c5cf8,en,128,584,0.6552845528455284,0.5388429752066116,True,123,115,0.8984375,0.25,13,111,0.9999512180896125,0.9987506798180674,2026-08-15T16:03:44
97,mixture,keep_prefix,0.75,3,0,15345,075c5cf8,en,128,578,0.6227642276422765,0.5388429752066116,True,123,96,0.75,0.375,31,94,0.9998925397819597,0.9988025256499259,2026-08-15T16:03:44
98,mixture,keep_prefix,0.5,3,0,15345,075c5cf8,en,128,599,0.5870967741935483,0.5388429752066116,True,124,64,0.5,0.5859375,62,64,0.9995337892476356,0.999398831874383,2026-08-15T16:03:44
99,mixture,keep_prefix,0.25,3,0,15345,075c5cf8,en,128,644,0.5467741935483871,0.5388429752066116,True,124,32,0.25,0.78125,94,32,0.9988545020644308,0.999552713811861,2026-08-15T16:03:44
100,mixture,keep_prefix,0.1,3,0,15345,075c5cf8,en,128,605,0.5193548387096775,0.5388429752066116,False,124,13,0.1015625,0.90625,111,13,0.998573296076661,0.9997258127398814,2026-08-15T16:03:44
101,mixture,keep_prefix,0.0,3,0,15345,075c5cf8,en,128,591,0.5120967741935484,0.5388429752066116,False,124,0,0.0,1.0,124,0,0.9984461117945462,1.0,2026-08-15T16:03:44
102,mixture,keep_suffix,1.0,3,0,15345,075c5cf8,en,128,593,0.6658536585365854,0.5388429752066116,True,123,128,1.0,0.15625,0,124,1.0,0.9984461117945462,2026-08-15T16:03:44
103,mixture,keep_suffix,0.9,3,0,15345,075c5cf8,en,128,579,0.6577235772357723,0.5388429752066116,True,123,115,0.8984375,0.2421875,13,111,0.9998043357593832,0.9987442262285682,2026-08-15T16:03:44
104,mixture,keep_suffix,0.75,3,0,15345,075c5cf8,en,128,540,0.6254098360655738,0.5388429752066116,True,122,96,0.75,0.34375,32,94,0.9995142772139121,0.9992601485337996,2026-08-15T16:03:44
105,mixture,keep_suffix,0.5,3,0,15345,075c5cf8,en,128,585,0.5853658536585366,0.5388429752066116,True,123,64,0.5,0.5625,64,62,0.9994125017519391,0.99940884810403,2026-08-15T16:03:44
106,mixture,keep_suffix,0.25,3,0,15345,075c5cf8,en,128,606,0.5451612903225806,0.5388429752066116,True,124,32,0.25,0.7734375,94,31,0.9990574371991284,0.9998022090412928,2026-08-15T16:03:44
107,mixture,keep_suffix,0.1,3,0,15345,075c5cf8,en,128,600,0.5258064516129032,0.5388429752066116,False,124,13,0.1015625,0.8984375,111,13,0.9986886862767026,0.9999600847428315,2026-08-15T16:03:44
108,mixture,keep_suffix,0.0,3,0,15345,075c5cf8,en,128,591,0.5120967741935484,0.5388429752066116,False,124,0,0.0,1.0,124,0,0.9984461117945462,1.0,2026-08-15T16:03:44
109,mixture,scattered,1.0,3,0,15345,075c5cf8,en,128,593,0.6658536585365854,0.5388429752066116,True,123,128,1.0,0.15625,0,124,1.0,0.9984461117945462,2026-08-15T16:03:44
110,mixture,scattered,0.9,3,0,15345,075c5cf8,en,128,599,0.5806451612903226,0.5388429752066116,True,124,115,0.8984375,0.2109375,13,113,0.9988849215067416,0.9984792622659212,2026-08-15T16:03:44
111,mixture,scattered,0.75,3,0,15345,075c5cf8,en,128,618,0.5459677419354839,0.5388429752066116,True,124,96,0.75,0.3359375,32,94,0.9983994782019427,0.997930020418389,2026-08-15T16:03:44
112,mixture,scattered,0.5,3,0,15345,075c5cf8,en,128,627,0.49838709677419357,0.5388429752066116,False,124,64,0.5,0.53125,64,63,0.9942148134331216,0.9951318914762343,2026-08-15T16:03:44
113,mixture,scattered,0.25,3,0,15345,075c5cf8,en,128,602,0.5112903225806451,0.5388429752066116,False,124,32,0.25,0.75,95,32,0.9971183688864456,0.9979389786326973,2026-08-15T16:03:44
114,mixture,scattered,0.1,3,0,15345,075c5cf8,en,128,592,0.507258064516129,0.5388429752066116,False,124,13,0.1015625,0.8984375,113,13,0.9986138047881883,0.9993819024465053,2026-08-15T16:03:44
115,mixture,scattered,0.0,3,0,15345,075c5cf8,en,128,591,0.5120967741935484,0.5388429752066116,False,124,0,0.0,1.0,124,0,0.9984461117945462,1.0,2026-08-15T16:03:44
116,edit,spelling,0.03125,3,0,15345,075c5cf8,en,128,609,0.6463414634146342,0.5388429752066116,True,123,124,0.96875,0.1484375,4,125,0.9998065949284644,0.9984972774897292,2026-08-15T16:03:44
117,edit,grammar,0.0625,3,0,15345,075c5cf8,en,128,604,0.6138211382113821,0.5388429752066116,True,123,120,0.9375,0.1484375,8,125,0.9989540545572897,0.9975282844471018,2026-08-15T16:03:44
118,edit,punctuation,0.0390625,3,0,15345,075c5cf8,en,128,599,0.6422764227642277,0.5388429752066116,True,123,123,0.9609375,0.1484375,5,125,0.99972022275983,0.9983787059274893,2026-08-15T16:03:44
119,edit,light_copyedit,0.1015625,3,0,15345,075c5cf8,en,128,604,0.5967479674796748,0.5388429752066116,True,123,115,0.8984375,0.1484375,13,125,0.997638468616523,0.9967167351741694,2026-08-15T16:03:44
120,edit,word_substitution,0.1484375,3,0,15345,075c5cf8,en,128,627,0.5758064516129032,0.5388429752066116,True,124,109,0.8515625,0.1484375,19,126,0.9972497777545389,0.9957636196792492,2026-08-15T16:03:44
121,edit,sentence_rewrite,0.203125,3,0,15345,075c5cf8,en,128,628,0.6258064516129033,0.5388429752066116,True,124,102,0.796875,0.140625,26,126,0.998365873287316,0.9975136787075565,2026-08-15T16:03:44
122,edit,paragraph_rewrite,0.5,3,0,15345,075c5cf8,en,128,715,0.5629032258064516,0.5388429752066116,True,124,64,0.5,0.109375,64,127,0.9879314297839993,0.9886390765074328,2026-08-15T16:03:44
123,edit,restoration,0.9921875,3,0,15345,075c5cf8,en,128,591,0.5120967741935484,0.5388429752066116,False,124,1,0.0078125,1.0,124,0,0.9984461117945462,1.0,2026-08-15T16:03:44
124,baseline,watermarked,1.0,4,0,16345,075c5cf8,en,128,598,0.646774193548387,0.5388429752066116,True,124,128,1.0,0.203125,0,118,1.0,0.9983538209865593,2026-08-15T16:03:44
125,baseline,reference,0.0,4,0,16345,075c5cf8,en,128,564,0.5137096774193548,0.5388429752066116,False,124,0,0.0,1.0,118,0,0.9983538209865593,0.9999999999999999,2026-08-15T16:03:44
126,mixture,keep_prefix,1.0,4,0,16345,075c5cf8,en,128,598,0.646774193548387,0.5388429752066116,True,124,128,1.0,0.203125,0,118,1.0,0.9983538209865593,2026-08-15T16:03:44
127,mixture,keep_prefix,0.9,4,0,16345,075c5cf8,en,128,602,0.632258064516129,0.5388429752066116,True,124,115,0.8984375,0.265625,10,108,0.9999545073347295,0.9983411874705689,2026-08-15T16:03:44
128,mixture,keep_prefix,0.75,4,0,16345,075c5cf8,en,128,575,0.6096774193548387,0.5388429752066116,True,124,96,0.75,0.3984375,29,89,0.9997479179131461,0.9986740964588418,2026-08-15T16:03:44
129,mixture,keep_prefix,0.5,4,0,16345,075c5cf8,en,128,551,0.5669354838709677,0.5388429752066116,True,124,64,0.5,0.6171875,61,57,0.9994958226150807,0.9988414136185798,2026-08-15T16:03:44
130,mixture,keep_prefix,0.25,4,0,16345,075c5cf8,en,128,548,0.532258064516129,0.5388429752066116,False,124,32,0.25,0.8203125,90,29,0.9993076971956061,0.9995300740582592,2026-08-15T16:03:44
